timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
15.7500,-0.002563,-0.009888,-0.999329,-0.003037,0.003337,-0.000720
15.7600,-0.001450,-0.010178,-0.999054,-0.003124,0.003310,-0.000095
15.7700,-0.002304,-0.009598,-1.000046,-0.003016,0.003099,-0.001121
15.7800,-0.001740,-0.010468,-0.998505,-0.002619,0.004794,-0.000813
15.7900,-0.001846,-0.010178,-0.998672,-0.003620,0.003423,-0.002332
15.8000,-0.001587,-0.009598,-0.998993,-0.004038,0.004303,-0.002333
15.8100,-0.001785,-0.010941,-0.999802,-0.002527,0.003697,-0.002109
15.8200,-0.001617,-0.009354,-0.999466,-0.003347,0.003801,-0.002094
15.8300,-0.001785,-0.009033,-0.999664,-0.003535,0.003968,-0.001784
15.8400,-0.001633,-0.009659,-1.000336,-0.003898,0.003585,-0.002676
15.8500,-0.001404,-0.009796,-0.999023,-0.002178,0.003901,-0.002551
15.8600,-0.001740,-0.009644,-0.999054,-0.003030,0.003800,-0.001832
15.8700,-0.001740,-0.009583,-1.000061,-0.002736,0.003653,-0.002081
15.8800,-0.002365,-0.010406,-0.999542,-0.002797,0.003292,0.000222
15.8900,-0.001724,-0.009933,-1.000183,-0.002671,0.004663,-0.001861
15.9000,-0.002396,-0.009949,-1.000366,-0.003450,0.002877,-0.000568
15.9100,-0.002823,-0.010681,-0.998047,-0.003708,0.003452,-0.001847
15.9200,-0.002029,-0.010193,-0.998901,-0.003646,0.003710,-0.001135
15.9300,-0.001312,-0.010330,-0.999191,-0.001872,0.004776,-0.001614
15.9400,-0.001801,-0.009521,-0.999161,-0.002870,0.005230,-0.002247
15.9500,-0.002045,-0.010742,-1.001312,-0.004426,0.003679,-0.000144
15.9600,-0.003281,-0.010376,-1.000519,-0.003603,0.003316,-0.001872
15.9700,-0.002838,-0.010025,-0.999252,-0.003929,0.003362,-0.001956
15.9800,-0.001740,-0.010330,-0.999893,-0.003863,0.002821,-0.001859
15.9900,-0.000931,-0.009644,-0.999832,-0.003344,0.003732,-0.002208
16.0000,-0.001907,-0.011322,-1.000061,-0.003645,0.002560,-0.003803
16.0100,-0.001846,-0.010361,-0.998337,-0.003353,0.003162,-0.003050
16.0200,-0.002121,-0.011215,-1.000153,-0.003916,0.004030,-0.002931
16.0300,-0.002380,-0.011414,-0.998871,-0.003762,0.005620,-0.000833
16.0400,-0.001724,-0.008453,-1.000015,-0.001724,0.003499,-0.000676
16.0500,-0.001160,-0.009903,-0.999023,-0.002094,0.003745,0.000259
16.0600,-0.001450,-0.009415,-0.998810,-0.002882,0.003012,-0.001267
16.0700,-0.002411,-0.009491,-0.999954,-0.004170,0.004029,-0.002851
16.0800,-0.001450,-0.011002,-0.999313,-0.002765,0.003784,-0.002132
16.0900,-0.002548,-0.010376,-0.997955,-0.001574,0.003358,-0.000552
16.1000,-0.001419,-0.010132,-0.999420,-0.004363,0.004190,-0.002115
16.1100,-0.001450,-0.011658,-0.999405,-0.001861,0.004300,-0.001753
16.1200,-0.000946,-0.010788,-0.999893,-0.004510,0.003727,-0.001685
16.1300,-0.002991,-0.010513,-0.999741,-0.003611,0.002997,-0.003481
16.1400,-0.003235,-0.010483,-0.999588,-0.002039,0.002737,-0.002058
16.1500,-0.002426,-0.009781,-1.000061,-0.001748,0.004313,-0.000936
16.1600,-0.002045,-0.009933,-0.999100,-0.004360,0.004867,-0.001630
16.1700,-0.001755,-0.010330,-0.998962,-0.003615,0.003811,-0.000908
16.1800,-0.001801,-0.009979,-1.000046,-0.003363,0.003951,-0.002338
16.1900,-0.002396,-0.010712,-0.998413,-0.002707,0.003803,-0.001035
16.2000,-0.001190,-0.011185,-0.999481,-0.003222,0.003873,-0.001324
16.2100,-0.001846,-0.010117,-0.998657,-0.004892,0.002857,-0.001133
16.2200,-0.001816,-0.011734,-0.999878,-0.002779,0.004191,-0.001561
16.2300,-0.000885,-0.010300,-0.999832,-0.003637,0.002484,-0.001909
16.2400,-0.001709,-0.010544,-0.998657,-0.004369,0.003811,-0.000741
16.2500,-0.002090,-0.009796,-0.998398,-0.001690,0.004288,-0.001571
16.2600,-0.001266,-0.010010,-1.000336,-0.003992,0.003955,-0.000793
16.2700,-0.002289,-0.009354,-0.998795,-0.002485,0.004308,-0.001984
16.2800,-0.001328,-0.009613,-1.000381,-0.003186,0.003970,-0.001501
16.2900,-0.000443,-0.010315,-1.000336,-0.002124,0.003934,-0.001956
16.3000,-0.001328,-0.011124,-0.999237,-0.003238,0.005074,-0.000929
16.3100,-0.001480,-0.009552,-1.000000,-0.003333,0.005495,-0.000248
16.3200,-0.001938,-0.010376,-0.999084,-0.003752,0.003554,-0.001260
16.3300,-0.002686,-0.010315,-0.999741,-0.004050,0.003959,-0.002203
16.3400,-0.001328,-0.010071,-0.999115,-0.004396,0.003807,-0.001582
16.3500,-0.001846,-0.009811,-0.999649,-0.003693,0.004029,-0.001104
16.3600,-0.001785,-0.010880,-1.000183,-0.002989,0.003688,-0.002413
16.3700,-0.002060,-0.010147,-0.999100,-0.002638,0.004051,-0.002088
16.3800,-0.002655,-0.010284,-0.999741,-0.004287,0.003287,-0.000811
16.3900,-0.000519,-0.010925,-0.999817,-0.002298,0.005846,-0.000705
16.4000,-0.001678,-0.011566,-1.000244,-0.003144,0.004068,-0.003083
16.4100,-0.002014,-0.009521,-0.999939,-0.003515,0.003641,-0.002659
